iter	Passed	Remaining
185	7396	12486
186	7457	12482
187	7517	12476
188	7563	12446
189	7621	12435
190	7676	12418
191	7780	12480
192	7841	12473
193	7886	12439
194	7932	12407
195	7976	12371
196	8019	12334
197	8064	12300
198	8106	12260
199	8152	12228
200	8196	12192
201	8243	12161
202	8296	12137
203	8344	12107
204	8416	12111
205	8466	12083
206	8527	12069
207	8587	12055
208	8641	12031
209	8697	12010
210	8747	11981
211	8805	11962
212	8859	11938
213	8917	11917
214	8969	11890
215	9023	11864
216	9069	11828
217	9115	11791
218	9163	11757
219	9224	11740
220	9278	11713
221	9319	11669
222	9360	11627
223	9400	11583
224	9440	11538
225	9479	11492
226	9516	11444
227	9550	11393
228	9584	11342
229	9624	11298
230	9668	11258
231	9710	11217
232	9755	11179
233	9790	11129
234	9825	11079
235	9859	11029
236	9893	10978
237	9928	10929
238	9962	10879
239	9995	10828
240	10032	10781
241	10066	10732
242	10102	10684
243	10135	10633
244	10169	10584
245	10206	10538
246	10241	10490
247	10279	10445
248	10314	10397
249	10352	10352
250	10391	10308
251	10429	10263
252	10473	10224
253	10523	10192
254	10574	10159
255	10624	10126
256	10676	10095
257	10721	10056
258	10783	10034
259	10856	10021
260	10927	10006
261	10977	9971
262	11031	9941
263	11082	9907
264	11130	9870
265	11173	9829
266	11217	9789
267	11256	9744
268	11300	9703
269	11338	9659
270	11379	9615
271	11419	9572
272	11460	9529
273	11504	9489
274	11544	9445
275	11589	9405
276	11633	9365
277	11698	9342
278	11737	9297
279	11779	9255
280	11814	9207
281	11851	9161
282	11886	9114
283	11921	9066
284	11964	9025
285	12003	8981
286	12044	8939
287	12082	8894
288	12116	8846
289	12151	8799
290	12185	8752
291	12218	8703
292	12253	8656
293	12304	8621
294	12352	8584
295	12399	8545
296	12442	8504
297	12484	8462
298	12535	8427
299	12578	8385
300	12618	8342
301	12657	8298
302	12697	8255
303	12731	8208
304	12767	8162
305	12802	8116
306	12843	8074
307	12879	8028
308	12921	7987
309	12957	7941
310	12992	7895
311	13027	7849
312	13062	7804
313	13109	7765
314	13164	7731
315	13213	7693
316	13256	7652
317	13296	7610
318	13337	7567
319	13373	7522
320	13409	7477
321	13443	7431
322	13479	7386
323	13517	7342
324	13551	7297
325	13585	7251
326	13620	7205
327	13655	7160
328	13690	7115
329	13725	7070
330	13761	7026
331	13795	6980
332	13830	6936
333	13865	6891
334	13900	6846
335	13932	6800
336	13966	6755
337	14003	6711
338	14037	6666
339	14072	6622
340	14108	6578
341	14143	6534
342	14177	6489
343	14214	6446
344	14254	6404
345	14298	6363
346	14340	6323
347	14381	6281
348	14418	6238
349	14454	6194
350	14491	6151
351	14525	6107
352	14558	6062
353	14596	6019
354	14633	5977
355	14667	5932
356	14700	5888
357	14735	5844
358	14768	5800
359	14802	5756
360	14838	5713
361	14875	5670
362	14908	5626
363	14945	5584
364	14985	5542
365	15022	5499
366	15061	5458
367	15095	5414
368	15128	5370
369	15165	5328
370	15200	5285
371	15234	5242
372	15270	5199
373	15304	5155
374	15341	5113
375	15382	5072
376	15430	5034
377	15470	4993
378	15513	4952
379	15554	4911
380	15593	4870
381	15634	4829
382	15682	4790
383	15724	4749
384	15763	4708
385	15803	4667
386	15843	4626
387	15885	4585
388	15923	4543
389	15959	4501
390	15995	4459
391	16030	4416
392	16065	4374
393	16101	4331
394	16135	4289
395	16168	4246
396	16204	4204
397	16234	4160
398	16266	4117
399	16299	4074
400	16333	4032
